Brand,urls
Kopenhagen,https://socialblade.com/instagram/user/kopenhagen_/monthly
Cacau Show,https://socialblade.com/instagram/user/cacaushow/monthly
Lugano,https://socialblade.com/instagram/user/chocolatelugano/monthly
Jour,https://socialblade.com/instagram/user/chocolatdujour/monthly
