Brand,Website,mediaUploads,followers,following,engagement,avgLikes,avgComments,followersOverTime
Kopenhagen,Instagram,"1,534","594,915",177,0.19%,"1,126.81",28.69,"[[1675227600000,590141],[1672549200000,589727],[1669870800000,580364],[1667275200000,574761],[1664596800000,571341],[1662004800000,569228],[1659326400000,567273],[1656648000000,565986],[1654056000000,564360],[1651377600000,561380],[1648785600000,548681],[1646110800000,539054],[1643691600000,537145],[1641013200000,536951],[1638334800000,523014],[1635739200000,514993],[1633060800000,513407],[1630468800000,512923],[1627790400000,513078],[1625112000000,512825],[1622520000000,512530],[1619841600000,513367],[1617249600000,509484],[1614574800000,487026],[1612155600000,484427],[1609477200000,486484],[1606798800000,476240],[1604203200000,472798],[1601524800000,469139],[1598932800000,470380],[1596254400000,472098],[1593576000000,473758],[1590984000000,476081],[1588305600000,478163],[1585713600000,456373],[1583038800000,441681],[1580533200000,440778],[1577854800000,437307],[1575176400000,427391],[1572580800000,423256],[1569902400000,420794],[1567310400000,418817],[1564632000000,415831],[1561953600000,416982],[1559361600000,416320],[1556683200000,417479]]"
Cacau Show,Instagram,"1,843","3,489,528","2,040",0.60%,"12,640.80","8,406.69","[[1675227600000,3442176],[1672549200000,3438381],[1669870800000,3389317],[1667275200000,3364429],[1664596800000,3351458],[1662004800000,3339638],[1659326400000,3332281],[1656648000000,3323838],[1654056000000,3309033],[1651377600000,3299182],[1648785600000,3158701],[1646110800000,3088890],[1643691600000,3087082],[1641013200000,3093305],[1638334800000,3052169],[1635739200000,3041377],[1633060800000,3035484],[1630468800000,3038723],[1627790400000,3036383],[1625112000000,3039098],[1622520000000,3037831],[1619841600000,3038362],[1617249600000,2936127],[1614574800000,2769329],[1612155600000,2766323],[1609477200000,2779132],[1606798800000,2740213],[1604203200000,2729444],[1601524800000,2726777],[1598932800000,2704755],[1596254400000,2683927],[1593576000000,2669813],[1590984000000,2663643],[1588305600000,2669775],[1585713600000,2512460],[1583038800000,2403141],[1580533200000,2392687],[1577854800000,2370372],[1575176400000,2302573],[1572580800000,2271013],[1569902400000,2254501],[1567310400000,2227508],[1564632000000,2199976],[1561953600000,2180153],[1559361600000,2156569],[1556683200000,2130216],[1554091200000,1971371],[1551416400000,1927620],[1548997200000,1914531],[1546318800000,1906400],[1543640400000,1872745],[1541044800000,1848185],[1538366400000,1830437],[1535774400000,1803673],[1533096000000,1772574]]"
Lugano,Instagram,"1,297","101,179",496,0.23%,226.38,6.13,"[[1675227600000,98439],[1672549200000,95851],[1669870800000,92645],[1667275200000,89289],[1664596800000,86517],[1662004800000,84292],[1659326400000,82390],[1656648000000,80458],[1654056000000,77373],[1651377600000,74259],[1648785600000,71693],[1646110800000,69760],[1643691600000,67654],[1641013200000,65678],[1638334800000,63823],[1635739200000,62724],[1633060800000,61785],[1630468800000,60899],[1627963200000,60134],[1625112000000,58441],[1622520000000,56692],[1619841600000,55463],[1617249600000,54943],[1614574800000,54333],[1612155600000,53776],[1609477200000,53002],[1606798800000,52106],[1604203200000,51030],[1601524800000,49858],[1598932800000,49214],[1596254400000,48483],[1593576000000,48000],[1590984000000,47096],[1588305600000,46247],[1585713600000,44839],[1583038800000,43641],[1580533200000,43192],[1577854800000,42143],[1575176400000,40600],[1572580800000,39412],[1569902400000,38196],[1567310400000,37322],[1564632000000,36448],[1561953600000,35103],[1559361600000,34318],[1556769600000,33947],[1554091200000,31477],[1551416400000,29330],[1548997200000,27680],[1546318800000,25715],[1543640400000,24328],[1541044800000,22678],[1538452800000,21274],[1535774400000,19643]]"
Jour,Instagram,"1,786","59,378","1,712",0.49%,279.19,9.88,"[[1675227600000,59101],[1672549200000,59126],[1669870800000,58148],[1667275200000,56600],[1664596800000,56086],[1662004800000,55447],[1659326400000,55298],[1656648000000,55145],[1654056000000,54846],[1651377600000,54609],[1648785600000,53882],[1646110800000,53409],[1643691600000,52937],[1641013200000,52402],[1638334800000,51558],[1635739200000,51055],[1633060800000,49925],[1630468800000,49546],[1627790400000,49183],[1625112000000,48908],[1622520000000,48456],[1619841600000,47808],[1617249600000,47085],[1614574800000,45944],[1612155600000,45581],[1609477200000,45475],[1606798800000,44291],[1604203200000,43698],[1601524800000,43241],[1598932800000,43036],[1596254400000,42548],[1593576000000,41805],[1590984000000,41449],[1588305600000,40535],[1585713600000,38173],[1583038800000,37552],[1580533200000,37464],[1577854800000,37219],[1575176400000,36428],[1572580800000,36196],[1569902400000,36003],[1567310400000,35595],[1564632000000,35194],[1561953600000,34890],[1559361600000,34611],[1556683200000,34146],[1554091200000,30612],[1551416400000,30304],[1548997200000,30255],[1546318800000,30104],[1543640400000,28007],[1541044800000,27579],[1538366400000,27214],[1535774400000,24689],[1533096000000,24097]]"
