Brand,Website,Uploads,Subcribers,VideoViews,country,ChannelType,UserCreated,subscriberOverTime,videoOverTime
Mytheresa,Youtube,214,4.09K,4246069,DE,howto,"Jan 28th, 2009","[[1675227600000,4040],[1672549200000,3940],[1669870800000,3860],[1667275200000,3770],[1664596800000,3670],[1662004800000,3600],[1659326400000,3520],[1656648000000,3480],[1654056000000,3310],[1651377600000,3100],[1648785600000,3050],[1646110800000,2980],[1643691600000,2940],[1641013200000,2860],[1638334800000,2810],[1635739200000,2770],[1633060800000,2730],[1630468800000,2680],[1627790400000,2630],[1625112000000,2560],[1622520000000,2490],[1619841600000,2440],[1617249600000,2420],[1614574800000,2390],[1612242000000,2360],[1609477200000,2320],[1606798800000,2290],[1604203200000,2260],[1601524800000,2250],[1598932800000,2210],[1596254400000,2170],[1593576000000,2130],[1590984000000,2100],[1588305600000,2070],[1585713600000,2050],[1583038800000,2030]]","[[1675227600000,4235350],[1672549200000,4224192],[1669870800000,4213208],[1667275200000,4199146],[1664596800000,4175785],[1662004800000,4167353],[1659326400000,4160946],[1656648000000,4152848],[1654056000000,4135338],[1651377600000,4115010],[1648785600000,4108582],[1646110800000,4101905],[1643691600000,4095009],[1641013200000,4088636],[1638334800000,4081520],[1635739200000,4074852],[1633060800000,4068193],[1630468800000,4062128],[1627790400000,4056637],[1625112000000,4050587],[1622520000000,4044042],[1619841600000,4037354],[1617249600000,4034316],[1614574800000,3964871],[1612242000000,3928929],[1609477200000,3925409],[1606798800000,3921825],[1604203200000,3918741],[1601524800000,3915610],[1598932800000,3912463],[1596254400000,3909549],[1593576000000,3905285],[1590984000000,3902512],[1588305600000,3899097],[1585713600000,3895757],[1583038800000,3891958]]"
Farfetch,Youtube,56,56.8K,2027926,GB,N/A,"Aug 21st, 2009","[[1675227600000,44200],[1672549200000,37800],[1669870800000,35700]]","[[1675227600000,2005362],[1672549200000,1989383],[1669870800000,1976940]]"
MATCHESFASHION,Youtube,405,9.8K,15584754,GB,howto,"Aug 30th, 2013","[[1675227600000,9750],[1672549200000,9710],[1669870800000,9670],[1667275200000,9620],[1664596800000,9580],[1662004800000,9540],[1659326400000,9500],[1656648000000,9470],[1654056000000,9430],[1651377600000,9360],[1648785600000,9320],[1646110800000,9260],[1643691600000,9230],[1641013200000,9190],[1638334800000,9150],[1635739200000,9070],[1633060800000,8870],[1630468800000,8490],[1627790400000,8300],[1625112000000,7980],[1622520000000,7770],[1619928000000,7230],[1617249600000,6160],[1614574800000,5140],[1612155600000,5060],[1609477200000,4980],[1606971600000,4860],[1604203200000,4760],[1601524800000,4700],[1598932800000,4590],[1596340800000,4520],[1593576000000,4430],[1590984000000,4360],[1588305600000,4240],[1585713600000,4130],[1583038800000,4020],[1580533200000,3920]]","[[1675227600000,15576546],[1672549200000,15566688],[1669870800000,15559180],[1667275200000,15550400],[1664596800000,15541990],[1662004800000,15532951],[1659326400000,15524143],[1656648000000,15515648],[1654056000000,15506525],[1651377600000,15496855],[1648785600000,15488404],[1646110800000,15477665],[1643691600000,15468404],[1641013200000,15458014],[1638334800000,15448525],[1635739200000,15271025],[1633060800000,13182131],[1630468800000,7101045],[1627790400000,7090089],[1625112000000,7079016],[1622520000000,7067050],[1619928000000,7053046],[1617249600000,7037823],[1614574800000,7021135],[1612155600000,7004751],[1609477200000,6986695],[1606971600000,6973402],[1604203200000,6958131],[1601524800000,6943863],[1598932800000,6010309],[1596340800000,5997440],[1593576000000,5984442],[1590984000000,5970902],[1588305600000,5953775],[1585713600000,5934683],[1583038800000,5919753],[1580533200000,5907082]]"
SSENSE,Youtube,88,12.4K,3095266,N/A,music,"Aug 27th, 2006","[[1675227600000,12400],[1672549200000,12300],[1669870800000,12300],[1667275200000,12200],[1664596800000,12200],[1662004800000,12100],[1659326400000,12100],[1656648000000,12100],[1654056000000,12000],[1651377600000,11900],[1648785600000,11700],[1646110800000,11700],[1643691600000,11600],[1641013200000,11600],[1638334800000,11500],[1635739200000,11500],[1633060800000,11400],[1630468800000,11400],[1627790400000,11300],[1625112000000,11300],[1622520000000,11200],[1619928000000,11200],[1617249600000,11100],[1614574800000,11000],[1612155600000,10900],[1609477200000,10900],[1606798800000,10800],[1604203200000,10700],[1601524800000,10600],[1598932800000,10500],[1596254400000,10500],[1593576000000,10400],[1590984000000,10300],[1588305600000,10100],[1585713600000,10000],[1583038800000,9980]]","[[1675227600000,3085639],[1672549200000,3074633],[1669870800000,3064538],[1667275200000,3045893],[1664596800000,3035639],[1662004800000,3024831],[1659326400000,3014027],[1656648000000,3002885],[1654056000000,2991580],[1651377600000,2977628],[1648785600000,2966802],[1646110800000,2954816],[1643691600000,2942755],[1641013200000,2930593],[1638334800000,2917630],[1635739200000,2904648],[1633060800000,2892445],[1630468800000,2880434],[1627790400000,2867539],[1625112000000,2854132],[1622520000000,2837962],[1619928000000,2818127],[1617249600000,2801887],[1614574800000,2783994],[1612155600000,2767198],[1609477200000,2747347],[1606798800000,2729206],[1604203200000,2710503],[1601524800000,2689956],[1598932800000,2671826],[1596254400000,2653802],[1593576000000,2632570],[1590984000000,2612836],[1588305600000,2589173],[1585713600000,2568393],[1583038800000,2549544]]"
NET-A-PORTER,Youtube,414,308K,43864196,GB,entertainment,"Oct 4th, 2006","[[1675227600000,308000],[1672549200000,307000],[1669870800000,307000],[1667275200000,302000],[1664596800000,301000],[1662004800000,301000],[1659326400000,301000],[1656648000000,300000],[1654056000000,300000],[1651377600000,300000],[1648785600000,297000],[1646110800000,296000],[1643691600000,295000],[1641013200000,295000],[1638334800000,295000],[1635739200000,294000],[1633060800000,293000],[1630468800000,293000],[1627790400000,292000],[1625112000000,290000],[1622520000000,289000],[1619841600000,286000],[1617249600000,279000],[1614574800000,277000],[1612155600000,277000],[1609477200000,277000],[1606798800000,276000],[1604203200000,276000],[1601524800000,276000],[1598932800000,276000],[1596254400000,273000],[1593576000000,269000],[1590984000000,269000],[1588305600000,269000],[1585713600000,268000]]","[[1675227600000,43555556],[1672549200000,43377342],[1669870800000,43202081],[1667275200000,42263441],[1664596800000,42054201],[1662004800000,41934726],[1659326400000,41808455],[1656648000000,41670975],[1654056000000,41371697],[1651377600000,41185458],[1648785600000,40757984],[1646110800000,40512040],[1643691600000,40249400],[1641013200000,39953672],[1638334800000,39775234],[1635739200000,39590316],[1633060800000,39353075],[1630468800000,39187459],[1627790400000,38944434],[1625112000000,38680549],[1622520000000,38441916],[1619841600000,38058304],[1617249600000,37272036],[1614574800000,36924995],[1612155600000,37407528],[1609477200000,37114047],[1606798800000,36804905],[1604203200000,36549947],[1601524800000,36381269],[1598932800000,36194060],[1596254400000,35814839],[1593576000000,35473351],[1590984000000,35317001],[1588305600000,35140982],[1585713600000,34934886]]"
