Brand,Website,mediaUploads,followers,following,engagement,avgLikes,avgComments,followersOverTime
Mytheresa,Instagram,"9,975","1,853,978","1,251",0.03%,512.63,6.44,"[[1675227600000,1840496],[1672549200000,1816116],[1669870800000,1809412],[1667275200000,1800301],[1664596800000,1786874],[1662004800000,1771893],[1659326400000,1760035],[1656648000000,1747452],[1654056000000,1734558],[1651377600000,1717153],[1648785600000,1698700],[1646110800000,1686203],[1643691600000,1671963],[1641013200000,1653413],[1638334800000,1635091],[1635739200000,1625150],[1633060800000,1613661],[1630468800000,1598337],[1627790400000,1583333],[1625112000000,1566590],[1622520000000,1540944],[1619841600000,1519664],[1617249600000,1499705],[1614574800000,1474317],[1612155600000,1450534],[1609477200000,1411301],[1606798800000,1376528],[1604203200000,1353378],[1601524800000,1328645],[1598932800000,1292974],[1596254400000,1249879],[1593576000000,1207610],[1590984000000,1175512],[1588305600000,1147106],[1585713600000,1125649],[1583038800000,1097671],[1580533200000,1070076],[1577854800000,1037044],[1575176400000,1007781],[1572580800000,980632],[1569902400000,949869],[1567310400000,921814],[1564632000000,891966],[1561953600000,868036],[1559361600000,843776],[1556683200000,810555],[1554091200000,786153],[1551416400000,762620],[1548997200000,740224],[1546318800000,715741],[1543640400000,686477],[1541044800000,656113],[1538366400000,623304],[1535774400000,597974],[1533096000000,569627]]"
Farfetch,Instagram,"10,000","4,571,626",768,0.02%,776.81,11.69,"[[1675227600000,4498757],[1672549200000,4379415],[1669870800000,4319632],[1667275200000,4212139],[1664596800000,4117694],[1662004800000,4065114],[1659326400000,4015356],[1656648000000,3981818],[1654056000000,3934141],[1651377600000,3861231],[1648785600000,3791001],[1646110800000,3710236],[1643691600000,3638051],[1641013200000,3549599],[1638334800000,3481727],[1635739200000,3398080],[1633060800000,3353056],[1630468800000,3261463],[1627963200000,3159985],[1625112000000,3086181],[1622520000000,2992873],[1619841600000,2913369],[1617249600000,2851940],[1614574800000,2776050],[1612155600000,2703146],[1609477200000,2619307],[1606798800000,2545113],[1604203200000,2485143],[1601524800000,2429492],[1598932800000,2351940],[1596254400000,2263305],[1593576000000,2210921],[1590984000000,2169523],[1588305600000,2099092],[1585713600000,2041464],[1583038800000,1988841],[1580533200000,1936676],[1577854800000,1893297],[1575176400000,1844050],[1572580800000,1776743],[1569902400000,1719421],[1567310400000,1667724],[1564632000000,1614230],[1561953600000,1572706],[1559361600000,1524530],[1556683200000,1471580],[1554091200000,1428740],[1551416400000,1379741],[1548997200000,1347136],[1546318800000,1293693],[1543640400000,1250664],[1541044800000,1209438],[1538366400000,1168544],[1535774400000,1132434],[1533096000000,1103648]]"
MATCHESFASHION,Instagram,"10,010","1,196,097","1,844",0.02%,237.44,3.44,"[[1675227600000,1196464],[1672549200000,1195363],[1669870800000,1194114],[1667275200000,1191492],[1664596800000,1189934],[1662004800000,1187247],[1659326400000,1182781],[1656648000000,1177293],[1654056000000,1173948],[1651377600000,1166658],[1648785600000,1162414],[1646110800000,1160599],[1643691600000,1157238],[1641013200000,1153359],[1638334800000,1147405],[1635739200000,1140837],[1633060800000,1133454],[1630468800000,1130591],[1627876800000,1127938],[1625112000000,1118793],[1622520000000,1105201],[1619841600000,1093811],[1617249600000,1081751],[1614574800000,1063856],[1612155600000,1050658],[1609477200000,1036314],[1606798800000,1023668],[1604203200000,1009638],[1601524800000,998218],[1598932800000,985054],[1596254400000,966353],[1593576000000,947082],[1590984000000,935005],[1588305600000,919310],[1585713600000,902433],[1583038800000,891869],[1580533200000,877417],[1577854800000,856763],[1575176400000,840444],[1572580800000,823862],[1569902400000,811258],[1567310400000,796606],[1564632000000,779361],[1561953600000,763602],[1559361600000,747166],[1556683200000,728388],[1554091200000,710457],[1551416400000,695049],[1548997200000,677849],[1546318800000,654737],[1543640400000,636749],[1541044800000,617700],[1538366400000,599096],[1535774400000,584188],[1533096000000,568955]]"
SSENSE,Instagram,"6,159","1,168,077",588,0.21%,"2,397.81",34.31,"[[1675227600000,1153944],[1672549200000,1139597],[1669870800000,1133891],[1667275200000,1124711],[1664596800000,1111151],[1662004800000,1100597],[1659326400000,1093363],[1656648000000,1087002],[1654056000000,1080699],[1651377600000,1072496],[1648785600000,1066471],[1646110800000,1057126],[1643691600000,1052570],[1641013200000,1046566],[1638334800000,1036362],[1635739200000,1028150],[1633060800000,1023646],[1630641600000,1017162],[1627876800000,1012885],[1625112000000,1013653],[1622520000000,1011427],[1619841600000,1009381],[1617249600000,1007353],[1614574800000,1001048],[1612155600000,993144],[1609477200000,975264],[1606798800000,940154],[1604203200000,923285],[1601524800000,901404],[1598932800000,892388],[1596254400000,880218],[1593576000000,868056],[1590984000000,866487],[1588305600000,843981],[1585713600000,829584],[1583038800000,816884],[1580533200000,807681],[1577854800000,790763],[1575176400000,735951],[1572580800000,712194],[1569902400000,688253],[1567310400000,668258],[1564632000000,623006],[1561953600000,595340],[1559361600000,567149],[1556769600000,540571],[1554091200000,518772],[1551416400000,491055],[1548997200000,461837],[1546318800000,455273],[1543640400000,412986],[1541044800000,401255],[1538366400000,389074],[1535774400000,379955],[1533096000000,369192]]"
NET-A-PORTER,Instagram,"10,001","5,330,823",795,0.04%,"2,075.62",15.25,"[[1675227600000,5291752],[1672549200000,5237403],[1669870800000,5196930],[1667275200000,5157223],[1664596800000,5121645],[1662004800000,5081115],[1659326400000,5036542],[1656648000000,4993748],[1654056000000,4949082],[1651377600000,4903162],[1648785600000,4874209],[1646110800000,4844794],[1643691600000,4815651],[1641013200000,4776417],[1638334800000,4737335],[1635739200000,4706083],[1633060800000,4655199],[1630468800000,4610917],[1627790400000,4559189],[1625112000000,4500055],[1622520000000,4444370],[1619841600000,4388539],[1617249600000,4351766],[1614574800000,4318075],[1612155600000,4297189],[1609477200000,4279265],[1606798800000,4249998],[1604203200000,4206679],[1601524800000,4155003],[1598932800000,4111126],[1596254400000,4084111],[1593576000000,4057812],[1590984000000,4044755],[1588305600000,4032677],[1585713600000,4003677],[1583038800000,3958052],[1580533200000,3896792],[1577854800000,3858288],[1575176400000,3831296],[1572580800000,3799227],[1569902400000,3763236],[1567310400000,3720758],[1564632000000,3690774],[1561953600000,3661092],[1559361600000,3622502],[1556769600000,3580500],[1554091200000,3540335],[1551416400000,3501104],[1548997200000,3468017],[1546318800000,3420618],[1543640400000,3363473],[1541044800000,3315344],[1538366400000,3274387],[1535774400000,3237528],[1533096000000,3199144]]"
