Brand,Website,Page_likes,Talking_about,TotalLikes_monthly,TotalTalking_monthly
Mytheresa,Facebook,"570,263",844,"[[1675227600000,567905],[1672549200000,563568],[1669870800000,560845],[1667275200000,558831],[1664596800000,555276],[1662004800000,547582],[1659326400000,541391],[1656648000000,537834],[1654056000000,534450],[1651377600000,530304],[1648785600000,526582],[1646110800000,526003],[1643691600000,523929],[1641013200000,521386],[1638334800000,519352],[1635739200000,518088],[1633060800000,517553],[1630468800000,514151],[1627790400000,512534],[1625112000000,510553],[1622520000000,506124],[1619841600000,503093],[1617249600000,500210],[1614574800000,493282],[1612155600000,486752],[1609477200000,478561],[1606798800000,472994],[1604203200000,467218],[1601611200000,459115],[1598932800000,443347],[1596254400000,434807],[1593576000000,424929],[1590984000000,408713],[1588305600000,403143],[1585713600000,400338],[1583038800000,396663],[1580533200000,391613],[1577854800000,386480],[1575176400000,381521],[1572580800000,375273],[1569902400000,360020],[1567310400000,355496],[1564632000000,349643],[1561953600000,341524],[1559361600000,336799],[1556683200000,331359],[1554091200000,324642],[1551416400000,321292],[1548997200000,316680],[1546318800000,316227]]","[[1675227600000,3412],[1672549200000,9410],[1669870800000,2082],[1667275200000,3660],[1664596800000,11583],[1662004800000,4607],[1659326400000,4082],[1656648000000,9672],[1654056000000,5407],[1651377600000,12382],[1648785600000,3893],[1646110800000,4694],[1643691600000,4120],[1641013200000,4017],[1638334800000,4434],[1635739200000,1946],[1633060800000,8704],[1630468800000,2616],[1627790400000,6515],[1625112000000,8661],[1622520000000,4775],[1619841600000,5544],[1617249600000,7270],[1614574800000,12751],[1612155600000,7289],[1609477200000,6011],[1606798800000,8005],[1604203200000,12101],[1601611200000,19442],[1598932800000,12861],[1596254400000,6253],[1593576000000,18032],[1590984000000,10876],[1588305600000,6156],[1585713600000,2369],[1583038800000,12011],[1580533200000,7024],[1577854800000,6652],[1575176400000,4219],[1572580800000,40174],[1569902400000,13199],[1567310400000,10041],[1564632000000,12297],[1561953600000,5175],[1559361600000,4135],[1556683200000,0],[1554091200000,4275],[1551416400000,8886],[1548997200000,5382],[1546318800000,2022]]"
Farfetch,Facebook,"2,887,658","35,967","[[1675227600000,2873835],[1672549200000,2844365],[1669870800000,2829044],[1667275200000,2806603],[1664596800000,2790876],[1662004800000,2774771],[1659326400000,2756402],[1656648000000,2739536],[1654056000000,2719247],[1651377600000,2701163],[1648785600000,2685042],[1646110800000,2671705],[1643691600000,2656203],[1641013200000,2638502],[1638334800000,2620715],[1635739200000,2602430],[1633060800000,2587059],[1630468800000,2571100],[1627790400000,2538542],[1625112000000,2494660],[1622520000000,2434532],[1619841600000,2394381],[1617249600000,2388229],[1614574800000,2364403],[1612155600000,2346514],[1609477200000,2322362],[1606798800000,2294543],[1604203200000,2260978],[1601524800000,2233997],[1598932800000,2212478],[1596254400000,2192206],[1593576000000,2174508],[1590984000000,2156202],[1588305600000,2127964],[1585713600000,2105928],[1583038800000,2083251],[1580878800000,2067012],[1577854800000,2047235],[1575176400000,2029556],[1572580800000,2007242],[1569902400000,1990230],[1567310400000,1975226],[1564632000000,1963555],[1561953600000,1956627],[1559361600000,1950146],[1556683200000,1943157],[1554091200000,1937399],[1551416400000,1928426],[1548997200000,1923290],[1546318800000,1915364]]","[[1675227600000,45323],[1672549200000,24451],[1669870800000,42998],[1667275200000,49274],[1664596800000,31479],[1662004800000,21031],[1659326400000,23656],[1656648000000,25092],[1654056000000,24408],[1651377600000,23738],[1648785600000,25075],[1646110800000,23678],[1643691600000,25818],[1641013200000,21234],[1638334800000,39273],[1635739200000,27387],[1633060800000,21530],[1630468800000,33835],[1627790400000,54801],[1625112000000,88887],[1622520000000,29344],[1619841600000,26559],[1617249600000,22950],[1614574800000,25515],[1612155600000,29935],[1609477200000,26092],[1606798800000,46561],[1604203200000,41338],[1601524800000,22513],[1598932800000,25236],[1596254400000,16026],[1593576000000,14340],[1590984000000,25892],[1588305600000,20952],[1585713600000,29565],[1583038800000,22446],[1580878800000,14378],[1577854800000,14909],[1575176400000,29405],[1572580800000,16082],[1569902400000,12118],[1567310400000,10399],[1564632000000,5748],[1561953600000,6463],[1559361600000,8102],[1556683200000,0],[1554091200000,13407],[1551416400000,13726],[1548997200000,6431],[1546318800000,4324]]"
MATCHESFASHION,Facebook,"249,398",206,"[[1675227600000,249340],[1672549200000,248974],[1669870800000,248862],[1667275200000,248688],[1664596800000,248554],[1662004800000,247875],[1659326400000,247210],[1656648000000,246797],[1654056000000,246677],[1651377600000,245937],[1648785600000,244921],[1646110800000,243806],[1643691600000,243927],[1641013200000,244057],[1638334800000,244044],[1635739200000,243614],[1633060800000,243690],[1630468800000,189018],[1627790400000,189157],[1625112000000,188639],[1622520000000,188139],[1619841600000,187642],[1617336000000,187394],[1614574800000,186456],[1612155600000,184986],[1609477200000,184703],[1606798800000,184425],[1604203200000,183405],[1601524800000,182582],[1598932800000,182191],[1596254400000,181491],[1593576000000,181519],[1590984000000,180959],[1588305600000,180446],[1585713600000,179691],[1583038800000,179509],[1580533200000,179359],[1577854800000,179290],[1575176400000,179189],[1572580800000,178825],[1569902400000,178467],[1567310400000,178088],[1564632000000,177676],[1561953600000,177226],[1559361600000,176893],[1556683200000,176479],[1554091200000,176077],[1551416400000,175565],[1548997200000,174829],[1546318800000,173749]]","[[1675227600000,900],[1672549200000,741],[1669870800000,800],[1667275200000,682],[1664596800000,516],[1662004800000,887],[1659326400000,665],[1656648000000,656],[1654056000000,1200],[1651377600000,2009],[1648785600000,2594],[1646110800000,336],[1643691600000,187],[1641013200000,254],[1638334800000,1825],[1635739200000,893],[1633060800000,374],[1630468800000,85],[1627790400000,389],[1625112000000,1110],[1622520000000,971],[1619841600000,542],[1617336000000,1355],[1614574800000,1003],[1612155600000,420],[1609477200000,287],[1606798800000,759],[1604203200000,879],[1601524800000,3684],[1598932800000,1345],[1596254400000,393],[1593576000000,789],[1590984000000,658],[1588305600000,5938],[1585713600000,414],[1583038800000,791],[1580533200000,415],[1577854800000,484],[1575176400000,814],[1572580800000,331],[1569902400000,1245],[1567310400000,867],[1564632000000,951],[1561953600000,500],[1559361600000,731],[1556683200000,0],[1554091200000,1236],[1551416400000,783],[1548997200000,1376],[1546318800000,2792]]"
SSENSE,Facebook,"845,438","2,107","[[1675227600000,844201],[1672549200000,841811],[1669870800000,840832],[1667275200000,838879],[1664596800000,835708],[1662004800000,831885],[1659326400000,828732],[1656648000000,826888],[1654056000000,826269],[1651377600000,825474],[1648785600000,824920],[1646110800000,824994],[1643691600000,825355],[1641013200000,826046],[1638334800000,826494],[1635739200000,826838],[1633060800000,825586],[1630468800000,825792],[1627790400000,826590],[1625112000000,826901],[1622520000000,827155],[1619841600000,826992],[1617249600000,826804],[1614574800000,826962],[1612155600000,828085],[1609477200000,828500],[1606798800000,828905],[1604203200000,829184],[1601524800000,829678],[1598932800000,830245],[1596254400000,831083],[1593576000000,832113],[1590984000000,833168],[1588305600000,833562],[1585713600000,834213],[1583038800000,834463],[1580533200000,829727],[1577854800000,829389],[1575176400000,829899],[1572580800000,830694],[1569902400000,831930],[1567310400000,833092],[1564632000000,834247],[1561953600000,835494],[1559361600000,836255],[1556683200000,837090],[1554091200000,838278]]","[[1675227600000,2871],[1672549200000,2132],[1669870800000,2077],[1667275200000,7927],[1664596800000,4211],[1662004800000,1930],[1659326400000,1452],[1656648000000,1424],[1654056000000,1700],[1651377600000,709],[1648785600000,869],[1646110800000,319],[1643691600000,212],[1641013200000,264],[1638334800000,547],[1635739200000,1732],[1633060800000,1556],[1630468800000,537],[1627790400000,681],[1625112000000,928],[1622520000000,1830],[1619841600000,1364],[1617249600000,1386],[1614574800000,612],[1612155600000,600],[1609477200000,953],[1606798800000,559],[1604203200000,1749],[1601524800000,1784],[1598932800000,872],[1596254400000,867],[1593576000000,1279],[1590984000000,1031],[1588305600000,1872],[1585713600000,881],[1583038800000,1013],[1580533200000,19474],[1577854800000,900],[1575176400000,1083],[1572580800000,843],[1569902400000,1279],[1567310400000,1353],[1564632000000,835],[1561953600000,1021],[1559361600000,886],[1556683200000,0],[1554091200000,10709]]"
NET-A-PORTER,Facebook,"1,712,754","6,510","[[1675227600000,1713142],[1672549200000,1712051],[1669870800000,1712216],[1667275200000,1712509],[1664596800000,1712666],[1662004800000,1709029],[1659326400000,1705642],[1656648000000,1704821],[1654056000000,1705737],[1651377600000,1705435],[1648785600000,1704521],[1646110800000,1705027],[1643691600000,1704893],[1641013200000,1704734],[1638334800000,1704519],[1635739200000,1705370],[1633060800000,1706290],[1630468800000,1706382],[1627790400000,1706375],[1625112000000,1705605],[1622520000000,1705072],[1619841600000,1704065],[1617249600000,1702403],[1614574800000,1700688],[1612155600000,1693844],[1609477200000,1690658],[1606798800000,1686976],[1604203200000,1682334],[1601524800000,1676003],[1598932800000,1674819],[1596254400000,1676190],[1593576000000,1677358],[1590984000000,1677094],[1588305600000,1678624],[1585713600000,1679822],[1583038800000,1679311],[1580533200000,1679293],[1577854800000,1677947],[1575176400000,1675626],[1572580800000,1675317],[1569902400000,1675091],[1567310400000,1675242],[1564632000000,1676289],[1561953600000,1676898],[1559361600000,1676917],[1556683200000,1676434],[1554091200000,1675912],[1551416400000,1676365],[1548997200000,1677438],[1546318800000,1676842]]","[[1675227600000,11505],[1672549200000,3145],[1669870800000,6590],[1667275200000,7233],[1664596800000,8371],[1662004800000,4425],[1659326400000,3927],[1656648000000,3578],[1654056000000,3314],[1651377600000,7223],[1648785600000,6594],[1646110800000,7429],[1643691600000,7548],[1641013200000,5308],[1638334800000,3847],[1635739200000,4219],[1633060800000,4734],[1630468800000,3527],[1627790400000,3783],[1625112000000,4902],[1622520000000,4157],[1619841600000,6008],[1617249600000,4434],[1614574800000,7334],[1612155600000,5995],[1609477200000,10869],[1606798800000,4935],[1604203200000,16937],[1601524800000,13410],[1598932800000,3412],[1596254400000,5049],[1593576000000,4235],[1590984000000,3684],[1588305600000,1639],[1585713600000,3867],[1583038800000,8207],[1580533200000,6425],[1577854800000,3867],[1575176400000,6699],[1572580800000,7667],[1569902400000,9121],[1567310400000,4150],[1564632000000,3834],[1561953600000,5642],[1559361600000,6027],[1556683200000,0],[1554091200000,5645],[1551416400000,3493],[1548997200000,4025],[1546318800000,6501]]"
