ProductURL,MainCategory,Brand,BrandTotalProducts,ProductCategory,ProductSubCategory,ProductSubsubCategory,ProductName,ProductPrice
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/vests-and-gilets/hooded-quilted-shell-down-vest/1647597303765906,Clothing,Brunello Cucinelli,207 Results,Clothing,Jackets,N/A,Hooded quilted shell down vest,3150
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/cardigans/sequined-linen-blend-cardigan/1647597303567615,Clothing,Brunello Cucinelli,207 Results,Clothing,Knitwear,Cardigan,Sequined linen-blend cardigan,8800
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/shirts/asymmetric-striped-cotton-and-silk-blend-shirt/1647597303765924,Clothing,Brunello Cucinelli,207 Results,Clothing,Tops,Shirts,Asymmetric striped cotton and silk-blend shirt,2595
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/shoes/flat/bead-embellished-suede-sandals/1647597298390316,Shoes,Brunello Cucinelli,207 Results,Shoes,Sandals,Embellished,Bead-embellished suede sandals,1695
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/blouses/gathered-cotton-top/1647597303765884,Clothing,Brunello Cucinelli,207 Results,Clothing,Loungewear,Tops,Gathered cotton top,1080
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/shoes/low-top/bead-embellished-suede-sneakers/1647597298390311,Shoes,Brunello Cucinelli,207 Results,Shoes,Sneakers,Court,Bead-embellished suede sneakers,1295
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/cardigans/fringed-striped-sequined-jute-blend-cardigan/1647597303567573,Clothing,Brunello Cucinelli,207 Results,Clothing,Knitwear,Cardigan,Fringed striped sequined jute-blend cardigan,8600
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/cardigans/metallic-ribbed-knit-cardigan/1647597295028961,Clothing,Brunello Cucinelli,207 Results,Clothing,Knitwear,Cardigan,Metallic ribbed-knit cardigan,2095
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/straight-leg/cotton-poplin-straight-leg-cargo-pants/1647597303765918,Clothing,Brunello Cucinelli,207 Results,Clothing,Pants,Straight Leg,Cotton-poplin straight-leg cargo pants,2750
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/round-neck/ribbed-wool-cashmere-and-silk-blend-sweater/1647597295028904,Clothing,Brunello Cucinelli,207 Results,Clothing,Knitwear,Sweater,"Ribbed wool, cashmere and silk-blend sweater",3150
