Store Name,Product Category,Proudct SubCategory,Product URL,Product Title,Product Brand,Product Price
samsclub,Appliances,,https://www.samsclub.com/p/bissell-commercial-bgst1566-power-steamer-mop/prod22340153,"Bissell Commercial BGST1566 Power Steamer Mop (12.5"")",Bissell Commercial,114.87
samsclub,Appliances,,https://www.samsclub.com/p/bissell-cleanveiw-rewind-2-0-upright-xl-vacuum/P03013251,"BISSELL Cleanview Rewind 2.0 Upright XL Vacuum, 3675",BISSELL,69.98
samsclub,Appliances,,https://www.samsclub.com/p/bissell-crosswave-all-in-one-cleaner/prod20994897,Bissell CrossWave Complete Floor and Area Rug Cleaner,BISSELL,149.98
samsclub,Appliances,,https://www.samsclub.com/p/shark-rotator-pet-pro-lift-away-adv-upright-vacuum-with-duo-clean/P03000658,Shark Rotator Pet Pro Lift-Away Upright Vacuum LA455,Shark,229.98
samsclub,Appliances,,https://www.samsclub.com/p/bissell-bgsv696-biggreen-commercial-stick-vacuum/P03013252,"Bissell BigGreen Commercial 2-in-1 Battery-Powered Stick Vacuum, BGSV696",Bissell Commercial,199.98
samsclub,Appliances,,https://www.samsclub.com/p/dyson-v8-origin-extra-cordless-vacuum-cleaner/P03006738,Dyson V8 Origin Extra Cordless Vacuum Cleaner,Dyson,299.98
samsclub,Appliances,,https://www.samsclub.com/p/irobot-roomba-j7-7150-wifi-connected-robot-vacuum/P03019676,iRobot Roomba j7 (7150) Wi-Fi Connected Robot Vacuum,iRobot,299.98
samsclub,Appliances,,https://www.samsclub.com/p/dyson-ball-ttl-clean-upright-vacuum/prod17870042,Dyson Ball Total Clean Vacuum,Dyson,219.98
samsclub,Appliances,,https://www.samsclub.com/p/ecovacs-deebot-t10-plus-all-in-one-robot-vacuum-cleaner-and-mop-white/P03014718,"Ecovacs T10 Plus All-In-One Robot Vacuum Cleaner and Mop, White",Ecovacs,599.98
samsclub,Appliances,,https://www.samsclub.com/p/irobot-roomba-i3-3556-wi-fi-connected-robot-vacuum-with-automatic-dirt-disposal/prod24963208,iRobot Roomba i3+ EVO (3556) Wi-Fi Connected Self-Emptying Robot Vacuum with Smart Mapping,iRobot Roomba,489.98
samsclub,Appliances,,https://www.samsclub.com/p/ecovacs-deebot-n79w-robot-vacuum-for-carpets-and-hard-floors/P03008358,Ecovacs Deebot N79W Robot Vacuum for Carpets and Hard Floors,Ecovacs,199.98
samsclub,Appliances,,https://www.samsclub.com/p/the-shark-cordless-pet-stick-vac-combines-powerful-suction-with-cordless/P03000672,Shark Pet Cordless Stick Vacuum with PowerFins UZ155		,Shark,249.98
samsclub,Appliances,,https://www.samsclub.com/p/shark-rotator-anti-allergen-pet-plus-zu55-self-cleaning-brushroll-uprightvacuum/P03010838,"Shark Rotator Anti-Allergen Pet Plus with Self-Cleaning Brushroll Upright Vacuum, ZU55",Shark,179.98
samsclub,Appliances,,https://www.samsclub.com/p/dyson-ball-animal-2-upright-vacuum-cleaner-carpets-hard-floors/P03012227,Dyson Ball Animal 2 Upright Vacuum Cleaner for Carpets and Hard Floors,Dyson,349.98
samsclub,Appliances,,https://www.samsclub.com/p/bissell-proheat-2x-revolution-pet-full-size-carpet-cleaner-35797/P03014139,"BISSELL ProHeat 2X Revolution Pet Full Size Carpet Cleaner, 35797",BISSELL,199.98
samsclub,Appliances,,https://www.samsclub.com/p/shark-ultralight-pet-corded-stick-vacuum-with-self-cleaning-brushroll/P03000659,Shark UltraLight Pet Corded Stick Vacuum w/ Brushroll HZ255,NA,179.98
samsclub,Appliances,,https://www.samsclub.com/p/bissell-proheat-2x-revolution-pet-full-size-carpet-cleaner/prod22042003,"Bissell ProHeat 2X Revolution Pet Full Size Carpet Cleaner, 1550X",Bissell,199.98
samsclub,Appliances,,https://www.samsclub.com/p/dyson-ball-animal-3plus-upright-vacuum-cleaner-automatically-detangles-hair/P03018925,Dyson Ball Animal 3+ Upright Vacuum Cleaner ,Dyson,349.98
samsclub,Appliances,,https://www.samsclub.com/p/shark-matrix-self-emptying-robot-vacuum-precision-cleaning/P03017330,"Shark Matrix Self-Emptying Robot Vacuum with 60 Day Dock, Precision Home Mapping, Wi-Fi Connected UR2350AE",Shark,399.98
samsclub,Appliances,,https://www.samsclub.com/p/dyson-v11-torque-drive-plus-cordless-vacuum-cleaner/P03014697,Dyson V11 Torque Drive+ Cordless Vacuum Cleaner,Dyson,649.98
