Game,Month,Average Concurrent Viewers,Peak Concurrent Viewers,Average Concurrent Streams,Peak Concurrent Streams,Hours Watched
League of Legends,12/2020,130K,320K,4.4K,8.0K,96.2M
League of Legends,11/2020,168K,345K,4.7K,8.9K,121M
League of Legends,10/2020,231K,2.04M,4.5K,8.5K,172M
League of Legends,09/2020,187K,795K,4.4K,6.8K,135M
League of Legends,08/2020,192K,730K,4.4K,7.5K,142M
League of Legends,07/2020,182K,505K,4.4K,7.3K,135M
League of Legends,06/2020,199K,561K,4.2K,7.5K,143M
League of Legends,05/2020,172K,507K,4.7K,8.3K,127M
League of Legends,04/2020,189K,736K,4.8K,8.8K,135M
League of Legends,03/2020,166K,430K,4.1K,8.4K,123M
League of Legends,02/2020,175K,402K,3.7K,7.3K,121M
League of Legends,01/2020,134K,348K,4.0K,8.0K,99.7M
League of Legends,12/2019,106K,232K,3.1K,6.4K,78.5M
League of Legends,11/2019,132K,1.74M,3.0K,4.5K,91.8M
League of Legends,10/2019,170K,1.10M,3.0K,5.9K,121M
League of Legends,09/2019,108K,654K,2.7K,4.5K,77.6M
League of Legends,08/2019,116K,463K,2.7K,5.3K,86.1M
League of Legends,07/2019,91.7K,275K,2.4K,3.4K,68.2M
League of Legends,06/2019,124K,322K,2.8K,3.9K,89.1M
League of Legends,05/2019,138K,816K,2.8K,4.1K,103M
League of Legends,04/2019,128K,548K,2.7K,4.0K,92.4M
League of Legends,03/2019,146K,377K,2.6K,4.0K,108M
League of Legends,02/2019,141K,370K,2.6K,4.5K,95.0M
League of Legends,01/2019,133K,400K,3.0K,6.1K,99.1M
League of Legends,12/2018,96.8K,344K,2.4K,3.5K,72.0M
League of Legends,11/2018,117K,1.13M,2.4K,5.0K,84.5M
League of Legends,10/2018,147K,923K,2.2K,3.4K,109M
League of Legends,09/2018,106K,424K,2.1K,3.1K,76.5M
League of Legends,08/2018,109K,934K,2.0K,2.8K,81.2M
League of Legends,07/2018,102K,232K,1.8K,2.8K,74.9M
League of Legends,06/2018,101K,244K,1.8K,3.3K,72.4M
League of Legends,05/2018,110K,511K,1.9K,2.8K,82.0M
League of Legends,04/2018,103K,486K,2.0K,3.9K,74.1M
League of Legends,03/2018,119K,364K,2.1K,3.2K,88.8M
League of Legends,02/2018,121K,305K,2.3K,3.5K,81.0M
League of Legends,01/2018,120K,440K,2.4K,4.8K,89.0M
League of Legends,12/2017,93.5K,325K,1.9K,3.2K,69.6M
League of Legends,11/2017,115K,1.09M,1.9K,2.9K,82.8M
League of Legends,10/2017,127K,886K,1.8K,2.8K,94.6M
League of Legends,09/2017,103K,376K,1.7K,2.6K,74.4M
League of Legends,08/2017,96.7K,350K,1.7K,2.7K,71.8M
League of Legends,07/2017,114K,326K,1.7K,2.5K,84.6M
League of Legends,06/2017,118K,281K,1.6K,2.4K,84.6M
League of Legends,05/2017,118K,648K,1.7K,2.5K,86.6M
League of Legends,04/2017,115K,488K,1.6K,2.5K,82.5M
League of Legends,03/2017,122K,326K,1.6K,2.5K,90.8M
League of Legends,02/2017,148K,391K,1.8K,2.8K,99.3M
League of Legends,01/2017,134K,378K,1.8K,2.9K,99.1M
League of Legends,12/2016,109K,334K,1.7K,2.5K,81.0M
MineCraft,09/2023,50.3K,194K,2.0K,3.6K,9.63M
MineCraft,08/2023,58.8K,406K,2.4K,3.8K,43.5M
MineCraft,07/2023,52.7K,230K,2.6K,3.9K,38.9M
MineCraft,06/2023,55.2K,301K,2.4K,3.9K,39.6M
MineCraft,05/2023,81.0K,359K,2.0K,3.6K,60.1M
MineCraft,04/2023,92.3K,493K,2.3K,4.1K,66.2M
MineCraft,03/2023,74.1K,1.59M,2.1K,4.1K,54.4M
MineCraft,02/2023,59.6K,1.67M,2.3K,4.7K,39.6M
MineCraft,01/2023,97.5K,681K,2.3K,4.7K,72.0M
MineCraft,12/2022,45.2K,312K,1.7K,3.2K,33.6M
MineCraft,11/2022,62.0K,358K,1.7K,3.6K,44.6M
MineCraft,10/2022,56.6K,595K,1.8K,3.4K,39.1M
MineCraft,09/2022,86.7K,593K,2.1K,4.0K,61.8M
MineCraft,08/2022,123K,812K,2.9K,4.7K,91.8M
MineCraft,07/2022,72.4K,776K,2.8K,4.5K,52.2M
MineCraft,06/2022,55.3K,1.11M,2.1K,3.6K,39.8M
MineCraft,05/2022,32.8K,407K,1.9K,3.4K,24.3M
MineCraft,04/2022,38.5K,419K,2.2K,4.0K,27.6M
MineCraft,03/2022,41.3K,419K,2.2K,4.5K,30.1M
MineCraft,02/2022,50.3K,654K,2.7K,5.4K,33.5M
MineCraft,01/2022,81.3K,1.93M,3.1K,5.9K,60.4M
MineCraft,12/2021,73.6K,644K,2.9K,6.0K,54.7M
MineCraft,11/2021,77.7K,604K,2.5K,4.9K,55.9M
MineCraft,10/2021,91.0K,758K,2.6K,4.8K,67.7M
MineCraft,09/2021,106K,793K,2.9K,5.7K,76.3M
MineCraft,08/2021,102K,898K,3.6K,6.0K,75.9M
MineCraft,07/2021,71.9K,903K,3.8K,6.3K,53.5M
MineCraft,06/2021,100K,505K,4.0K,7.6K,72.2M
MineCraft,05/2021,103K,974K,3.8K,7.8K,76.6M
MineCraft,04/2021,111K,751K,4.3K,8.9K,80.0M
MineCraft,03/2021,118K,700K,4.6K,9.5K,87.7M
MineCraft,02/2021,122K,642K,5.2K,9.9K,82.2M
MineCraft,01/2021,108K,923K,4.8K,9.9K,79.9M
MineCraft,12/2020,97.0K,592K,3.7K,7.1K,72.0M
MineCraft,11/2020,106K,620K,3.1K,6.1K,76.5M
MineCraft,10/2020,67.0K,477K,2.4K,4.5K,49.8M
MineCraft,09/2020,54.1K,437K,2.2K,3.8K,38.9M
MineCraft,08/2020,54.2K,380K,2.6K,4.5K,40.3M
MineCraft,07/2020,71.1K,449K,2.8K,4.4K,52.8M
MineCraft,06/2020,54.0K,402K,2.4K,4.7K,38.8M
MineCraft,05/2020,55.3K,471K,2.4K,4.1K,41.0M
MineCraft,04/2020,57.2K,315K,2.3K,4.1K,41.0M
MineCraft,03/2020,30.8K,218K,1.6K,3.7K,22.9M
MineCraft,02/2020,24.7K,129K,1.1K,2.2K,17.2M
MineCraft,01/2020,25.2K,181K,1.1K,2.2K,18.7M
MineCraft,12/2019,22.8K,159K,984,1.9K,16.9M
MineCraft,11/2019,21.9K,170K,858,1.8K,15.3M
MineCraft,10/2019,20.3K,152K,983,2.1K,14.6M
MineCraft,09/2019,32.8K,184K,1.4K,3.0K,23.6M
MineCraft,08/2019,44.0K,233K,1.8K,3.0K,32.7M
MineCraft,07/2019,25.2K,153K,1.5K,2.5K,18.7M
MineCraft,06/2019,23.7K,207K,944,1.6K,17.1M
MineCraft,05/2019,12.0K,75.1K,767,1.5K,8.91M
MineCraft,04/2019,8.5K,36.2K,597,1.2K,6.15M
MineCraft,03/2019,7.3K,38.2K,527,1.0K,5.43M
MineCraft,02/2019,9.3K,83.2K,494,933,6.27M
MineCraft,01/2019,14.5K,62.2K,535,1.0K,10.8M
MineCraft,12/2018,8.6K,36.0K,398,765,6.38M
MineCraft,11/2018,6.0K,45.4K,349,749,4.29M
MineCraft,10/2018,5.9K,44.4K,330,651,4.39M
MineCraft,09/2018,5.6K,66.4K,339,685,4.03M
MineCraft,08/2018,7.2K,45.5K,411,864,5.33M
MineCraft,07/2018,7.1K,48.6K,389,682,5.13M
MineCraft,06/2018,4.3K,27.2K,325,562,3.08M
MineCraft,05/2018,4.1K,16.5K,287,545,3.07M
MineCraft,04/2018,5.6K,26.6K,306,605,3.99M
MineCraft,03/2018,4.9K,30.9K,302,609,3.63M
MineCraft,02/2018,5.0K,32.8K,324,643,3.32M
MineCraft,01/2018,5.4K,36.9K,346,680,3.99M
MineCraft,12/2017,6.0K,51.5K,314,665,4.44M
MineCraft,11/2017,8.7K,61.0K,293,660,6.27M
MineCraft,10/2017,5.8K,40.5K,295,624,4.30M
MineCraft,09/2017,5.6K,51.8K,311,681,4.02M
MineCraft,08/2017,6.6K,41.8K,407,723,4.89M
MineCraft,07/2017,7.3K,34.6K,456,751,5.45M
MineCraft,06/2017,7.3K,44.4K,398,711,5.22M
MineCraft,05/2017,8.7K,92.9K,348,773,6.34M
MineCraft,04/2017,9.1K,56.0K,366,788,6.48M
MineCraft,03/2017,7.6K,39.2K,375,921,5.62M
MineCraft,02/2017,9.5K,113K,441,964,6.38M
MineCraft,01/2017,13.6K,91.2K,487,1.1K,10.1M
MineCraft,12/2016,10.8K,72.9K,435,940,8.00M
